Freq.	V(out)
1.00000000000000e+00	(-1.46840658005417e-01dB,-8.70458669681457e+01°)
1.07177346253629e+00	(4.62853229893934e-01dB,-8.68391167108847e+01°)
1.14869835499703e+00	(1.07365522430250e+00dB,-8.66187261431844e+01°)
1.23114441334492e+00	(1.68572165654940e+00dB,-8.63839847854331e+01°)
1.31950791077289e+00	(2.29922950387830e+00dB,-8.61341897861951e+01°)
1.41421356237309e+00	(2.91437868263210e+00dB,-8.58686586554764e+01°)
1.51571656651040e+00	(3.53139445283393e+00dB,-8.55867452015888e+01°)
1.62450479271247e+00	(4.15052988783806e+00dB,-8.52878592349187e+01°)
1.74110112659225e+00	(4.77206836670884e+00dB,-8.49714906510935e+01°)
1.86606598307361e+00	(5.39632596997205e+00dB,-8.46372385389732e+01°)
2.00000000000000e+00	(6.02365368156591e+00dB,-8.42848459665824e+01°)
2.14354692507259e+00	(6.65443922444165e+00dB,-8.39142410637515e+01°)
2.29739670999407e+00	(7.28910833528008e+00dB,-8.35255849283291e+01°)
2.46228882668983e+00	(7.92812521840853e+00dB,-8.31193267113328e+01°)
2.63901582154579e+00	(8.57199188827761e+00dB,-8.26962659609760e+01°)
2.82842712474619e+00	(9.22124604049419e+00dB,-8.22576218999493e+01°)
3.03143313302079e+00	(9.87645705570776e+00dB,-8.18051087556109e+01°)
3.24900958542494e+00	(1.05382197115262e+01dB,-8.13410155366399e+01°)
3.48220225318449e+00	(1.12071451741180e+01dB,-8.08682877584780e+01°)
3.73213196614723e+00	(1.18838488647473e+01dB,-8.03906075767577e+01°)
4.00000000000000e+00	(1.25689348854554e+01dB,-7.99124676559566e+01°)
4.28709385014517e+00	(1.32629768382867e+01dB,-7.94392329626724e+01°)
4.59479341998814e+00	(1.39664950580361e+01dB,-7.89771836831006e+01°)
4.92457765337966e+00	(1.46799306087553e+01dB,-7.85335317890331e+01°)
5.27803164309157e+00	(1.54036167058791e+01dB,-7.81164036402668e+01°)
5.65685424949238e+00	(1.61377486435361e+01dB,-7.77347816091391e+01°)
6.06286626604159e+00	(1.68823536872976e+01dB,-7.73983992244153e+01°)
6.49801917084988e+00	(1.76372627492267e+01dB,-7.71175868181969e+01°)
6.96440450636899e+00	(1.84020858991984e+01dB,-7.69030680770224e+01°)
7.46426393229445e+00	(1.91761938279256e+01dB,-7.67657120026972e+01°)
7.99999999999999e+00	(1.99587072807272e+01dB,-7.67162492064181e+01°)
8.57418770029034e+00	(2.07484960720916e+01dB,-7.67649656626809e+01°)
9.18958683997627e+00	(2.15441887402300e+01dB,-7.69213904923041e+01°)
9.84915530675932e+00	(2.23441931400567e+01dB,-7.71939964962383e+01°)
1.05560632861831e+01	(2.31467274169444e+01dB,-7.75899326593330e+01°)
1.13137084989847e+01	(2.39498599550389e+01dB,-7.81148065082664e+01°)
1.21257325320832e+01	(2.47515560966967e+01dB,-7.87725310973239e+01°)
1.29960383416998e+01	(2.55497288733822e+01dB,-7.95652467850000e+01°)
1.39288090127380e+01	(2.63422905861731e+01dB,-8.04933222925859e+01°)
1.49285278645889e+01	(2.71272020142608e+01dB,-8.15554333634519e+01°)
1.60000000000000e+01	(2.79025162539129e+01dB,-8.27487112736825e+01°)
1.71483754005807e+01	(2.86664146401626e+01dB,-8.40689480830324e+01°)
1.83791736799525e+01	(2.94172329287336e+01dB,-8.55108413973655e+01°)
1.96983106135186e+01	(3.01534767784867e+01dB,-8.70682589430096e+01°)
2.11121265723663e+01	(3.08738264734680e+01dB,-8.87345026561496e+01°)
2.26274169979695e+01	(3.15771317236881e+01dB,-9.05025532734422e+01°)
2.42514650641663e+01	(3.22623981417470e+01dB,-9.23652793518150e+01°)
2.59920766833995e+01	(3.29287675485541e+01dB,-9.43155988434457e+01°)
2.78576180254759e+01	(3.35754946224718e+01dB,-9.63465862917220e+01°)
2.98570557291778e+01	(3.42019224638133e+01dB,-9.84515238408471e+01°)
3.20000000000000e+01	(3.48074595503013e+01dB,-1.00623899098273e+02°)
3.42967508011613e+01	(3.53915602131332e+01dB,-1.02857357066820e+02°)
3.67583473599051e+01	(3.59537103302175e+01dB,-1.05145616652186e+02°)
3.93966212270373e+01	(3.64934193715716e+01dB,-1.07482364520886e+02°)
4.22242531447325e+01	(3.70102193439286e+01dB,-1.09861140305535e+02°)
4.52548339959390e+01	(3.75036705757113e+01dB,-1.12275227330908e+02°)
4.85029301283327e+01	(3.79733736753208e+01dB,-1.14717562186401e+02°)
5.19841533667990e+01	(3.84189864968770e+01dB,-1.17180674643956e+02°)
5.57152360509518e+01	(3.88402444434556e+01dB,-1.19656666663859e+02°)
5.97141114583556e+01	(3.92369821852213e+01dB,-1.22137235712141e+02°)
6.39999999999999e+01	(3.96091546521435e+01dB,-1.24613743530167e+02°)
6.85935016023226e+01	(3.99568552539588e+01dB,-1.27077327236964e+02°)
7.35166947198101e+01	(4.02803294968927e+01dB,-1.29519045614506e+02°)
7.87932424540745e+01	(4.05799826153643e+01dB,-1.31930050116856e+02°)
8.44485062894651e+01	(4.08563804019920e+01dB,-1.34301767959192e+02°)
9.05096679918779e+01	(4.11102430723102e+01dB,-1.36626083864260e+02°)
9.70058602566653e+01	(4.13424326273888e+01dB,-1.38895507729341e+02°)
1.03968306733598e+02	(4.15539347220394e+01dB,-1.41103317471377e+02°)
1.11430472101904e+02	(4.17458364268952e+01dB,-1.43243669252495e+02°)
1.19428222916711e+02	(4.19193014939014e+01dB,-1.45311670720915e+02°)
1.28000000000000e+02	(4.20755447192224e+01dB,-1.47303416325004e+02°)
1.37187003204645e+02	(4.22158068836175e+01dB,-1.49215986773879e+02°)
1.47033389439620e+02	(4.23413314746375e+01dB,-1.51047417027410e+02°)
1.57586484908149e+02	(4.24533440707063e+01dB,-1.52796638683555e+02°)
1.68897012578930e+02	(4.25530349477211e+01dB,-1.54463403304309e+02°)
1.81019335983756e+02	(4.26415451354031e+01dB,-1.56048193191883e+02°)
1.94011720513330e+02	(4.27199559149751e+01dB,-1.57552125580925e+02°)
2.07936613467196e+02	(4.27892815332965e+01dB,-1.58976855328332e+02°)
2.22860944203807e+02	(4.28504648007849e+01dB,-1.60324480145528e+02°)
2.38856445833422e+02	(4.29043751402936e+01dB,-1.61597451356095e+02°)
2.55999999999999e+02	(4.29518086561679e+01dB,-1.62798492185027e+02°)
2.74374006409290e+02	(4.29934897811753e+01dB,-1.63930524740200e+02°)
2.94066778879240e+02	(4.30300741174161e+01dB,-1.64996606168152e+02°)
3.15172969816298e+02	(4.30621521049110e+01dB,-1.65999873945597e+02°)
